epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.148,1.20919,2.67952,1.28544,0.00389,0.875,0.02962,0.01178,2.23235,3.93915,2.07594,0.00012,0.00012,0.08812
2,24.7482,1.26325,1.89914,1.36763,0.00733,0.5625,0.22343,0.06514,1.8949,4.16867,2.02095,0.000247525,0.000247525,0.0752475
3,35.466,1.35809,1.60353,1.33679,0.00922,0.6875,0.30122,0.09659,1.36005,3.62081,1.32376,0.000372476,0.000372476,0.0623725
4,45.7904,1.68934,1.66013,1.63961,0.01008,0.75,0.28215,0.12844,1.45107,3.32353,1.2891,0.000494853,0.000494853,0.0494949
5,55.1251,1.76323,1.65622,1.73849,0.34573,0.3125,0.27155,0.17586,1.64835,2.83185,1.4595,0.000614656,0.000614656,0.0366147
6,65.7408,2.05645,1.67334,1.99534,0.18473,0.4375,0.25256,0.09785,2.12057,2.79623,2.11669,0.000731885,0.000731885,0.0237319
7,78.3047,2.32492,1.79556,2.49928,0.03094,0.6875,0.04141,0.01872,2.33821,2.91261,2.52555,0.00084654,0.00084654,0.0108465
8,91.2482,2.55786,1.91064,2.80224,0.02115,0.875,0.04303,0.01265,2.49416,2.92393,2.55004,0.0009307,0.0009307,0.0009307
9,103.261,2.57116,2.05017,2.98587,0.41293,0.52829,0.32109,0.13658,2.35182,2.50034,2.84996,0.0009208,0.0009208,0.0009208
10,116.166,2.58981,1.90488,3.09883,0.36927,0.625,0.48982,0.18076,2.47769,2.36695,3.14792,0.0009109,0.0009109,0.0009109
11,129.916,2.78232,1.92636,3.35825,0.58349,0.75,0.7285,0.22356,2.71456,1.86159,3.86077,0.000901,0.000901,0.000901
12,147.514,2.78734,1.88036,3.43427,0.49308,0.6875,0.559,0.15349,2.51258,2.33961,3.48781,0.0008911,0.0008911,0.0008911
13,165.049,2.81364,1.78112,3.51891,0.67778,0.5,0.5441,0.2039,2.43541,2.10222,3.21308,0.0008812,0.0008812,0.0008812
14,183.063,2.7443,1.72302,3.44796,0.61977,0.61192,0.67814,0.26536,2.45088,1.77512,2.6837,0.0008713,0.0008713,0.0008713
15,203.146,2.82568,1.71588,3.43563,0.8985,0.55408,0.56513,0.21115,2.48264,1.72853,2.59115,0.0008614,0.0008614,0.0008614
16,223.349,2.93147,1.85207,3.4589,0.88825,0.49713,0.64612,0.22267,2.44767,1.73944,2.55572,0.0008515,0.0008515,0.0008515
17,240.546,2.78732,1.72416,3.45005,0.61303,0.4375,0.51926,0.25027,2.28499,1.67947,2.72102,0.0008416,0.0008416,0.0008416
18,259.156,2.91584,1.7688,3.66646,0.65321,0.5,0.52129,0.25328,2.21889,1.63351,3.03043,0.0008317,0.0008317,0.0008317
19,276.927,2.89375,1.86138,3.76867,0.75304,0.25,0.221,0.13171,2.3846,1.54306,3.18984,0.0008218,0.0008218,0.0008218
20,298.011,2.94608,1.84423,3.76828,0.88687,0.4909,0.69612,0.26711,2.66873,1.4246,3.07506,0.0008119,0.0008119,0.0008119
