epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6211,1.23138,2.94336,1.30864,0.00444,1,0.2129,0.08863,1.3767,3.48675,1.22024,6e-05,6e-05,0.09406
2,16.725,1.36813,2.24578,1.40428,0.00333,0.75,0.13175,0.07825,1.85875,3.85119,1.64712,0.000128713,0.000128713,0.0871287
3,23.6026,1.25117,1.65897,1.26377,0.00412,0.25,0.00407,0.00208,1.99823,4.19745,1.80005,0.00019604,0.00019604,0.080196
4,30.5988,1.29401,1.67158,1.34858,0,0,0,0,1.62671,4.29206,1.67963,0.000261981,0.000261981,0.073262
5,35.6439,1.3029,1.46753,1.31116,0.00229,0.125,0.125,0.075,1.46819,4.30371,1.63297,0.000326536,0.000326536,0.0663265
6,41.865,1.36667,1.51343,1.32259,0.00877,0.5,0.15632,0.11381,1.22892,4.05193,1.38005,0.000389705,0.000389705,0.0593897
7,47.6865,1.46615,1.32217,1.42308,0.01015,0.5,0.09998,0.06737,1.2133,3.94275,1.29334,0.000451488,0.000451488,0.0524515
8,53.6993,1.53291,1.42258,1.49942,0.02105,0.75,0.13089,0.08636,1.11996,3.53529,1.28022,0.000511885,0.000511885,0.0455119
9,60.7562,1.44694,1.24669,1.53084,0.02545,0.875,0.37738,0.2436,1.13723,3.20991,1.281,0.000570896,0.000570896,0.0385709
10,66.6277,1.57328,1.33643,1.58179,0.02555,0.875,0.46581,0.28717,1.17898,3.00441,1.34505,0.000628521,0.000628521,0.0316285
11,72.575,1.63466,1.27153,1.70158,0.01813,0.875,0.06421,0.04281,1.24172,3.10955,1.471,0.00068476,0.00068476,0.0246848
12,79.0546,1.98569,1.56733,2.05693,0.07409,0.25,0.07617,0.05399,1.39593,2.85834,1.5946,0.000739613,0.000739613,0.0177396
13,85.6299,1.87828,1.46111,1.82531,0.71435,0.5,0.60396,0.3377,1.64542,2.41072,1.7558,0.00079308,0.00079308,0.0107931
14,91.2234,2.17708,1.55701,2.20158,0.71435,0.5,0.60396,0.3377,1.64542,2.41072,1.7558,0.000845161,0.000845161,0.00384516
15,98.8736,2.31497,1.67739,2.25061,0.77878,0.625,0.62307,0.33628,1.8371,2.19362,2.02565,0.0008614,0.0008614,0.0008614
16,105.301,2.43004,1.68832,2.40722,0.71533,0.5,0.65757,0.32563,2.14313,1.82203,1.94282,0.0008515,0.0008515,0.0008515
17,111.532,2.48493,1.81986,2.5067,0.53551,0.5,0.58744,0.26585,2.20931,1.75406,2.04227,0.0008416,0.0008416,0.0008416
18,118.35,2.45913,1.86707,2.39673,0.77326,0.625,0.68998,0.26957,2.17643,2.11166,2.14352,0.0008317,0.0008317,0.0008317
19,124.718,2.4217,1.82159,2.3313,0.47018,0.75,0.60017,0.31317,2.19518,2.2125,2.10072,0.0008218,0.0008218,0.0008218
20,131.029,2.70994,1.96031,2.76637,0.54656,0.75365,0.71667,0.35354,2.23759,1.97868,2.1751,0.0008119,0.0008119,0.0008119
21,137.621,2.82249,1.91666,2.92193,0.73545,0.69907,0.71612,0.20758,2.56132,2.12147,2.62256,0.000802,0.000802,0.000802
22,142.795,2.79527,1.93558,3.11854,0.73545,0.69907,0.71612,0.20758,2.56132,2.12147,2.62256,0.0007921,0.0007921,0.0007921
23,149.852,2.62537,1.97937,2.91934,0.47717,0.5,0.50925,0.14997,2.68405,2.16696,2.96037,0.0007822,0.0007822,0.0007822
24,156.497,2.85164,2.07159,3.2777,0.53982,0.625,0.64708,0.16832,2.82424,1.94838,3.07187,0.0007723,0.0007723,0.0007723
25,163.761,2.77654,1.94479,3.3007,0.55966,0.4794,0.47775,0.12997,2.68349,1.79596,2.98178,0.0007624,0.0007624,0.0007624
26,171.365,2.64545,1.80954,3.02039,0.6594,0.24455,0.29738,0.08333,2.62158,2.02227,3.02781,0.0007525,0.0007525,0.0007525
27,179.979,2.54872,1.89198,3.13648,0.28677,0.625,0.3803,0.11616,2.52796,1.76624,2.86677,0.0007426,0.0007426,0.0007426
28,189.012,2.46083,1.73145,3.17473,0.29461,0.75,0.43967,0.13885,2.36877,1.75596,2.84711,0.0007327,0.0007327,0.0007327
29,197.217,2.55975,1.81322,3.14491,0.39506,0.75,0.48379,0.14507,2.58248,1.69153,2.99512,0.0007228,0.0007228,0.0007228
30,203.686,2.57627,1.77508,3.21962,0.39506,0.75,0.48379,0.14507,2.58248,1.69153,2.99512,0.0007129,0.0007129,0.0007129
31,211.692,2.63937,1.75965,3.46524,0.45242,0.875,0.67803,0.19991,2.48261,1.66037,2.7674,0.000703,0.000703,0.000703
32,219.576,2.65523,1.76121,3.65334,0.67689,0.5,0.74416,0.23458,2.30255,1.74437,2.99078,0.0006931,0.0006931,0.0006931
33,227.576,2.67076,1.72165,3.61838,0.53616,0.875,0.69174,0.26568,2.33976,1.5384,3.02312,0.0006832,0.0006832,0.0006832
34,235.773,2.56893,1.74416,3.36664,0.57889,0.75,0.6399,0.24286,2.28362,1.42418,2.91241,0.0006733,0.0006733,0.0006733
35,242.963,2.5549,1.59836,3.24644,0.60223,0.625,0.61364,0.25367,2.401,1.4211,2.95872,0.0006634,0.0006634,0.0006634
36,251.31,2.59669,1.56805,3.35034,0.65354,0.71061,0.67361,0.25069,2.38434,1.3597,2.83563,0.0006535,0.0006535,0.0006535
37,259.508,2.49593,1.69254,3.20641,0.67667,0.625,0.73341,0.28397,2.40778,1.31042,2.70917,0.0006436,0.0006436,0.0006436
38,265.732,2.58152,1.76475,3.16241,0.67667,0.625,0.73341,0.28397,2.40778,1.31042,2.70917,0.0006337,0.0006337,0.0006337
39,273.95,2.51395,1.70824,3.15165,0.62946,0.875,0.72686,0.29143,2.30933,1.41911,2.52345,0.0006238,0.0006238,0.0006238
40,282.334,2.57821,1.66725,3.30294,0.55719,0.62961,0.74003,0.24999,2.28426,1.47909,2.60275,0.0006139,0.0006139,0.0006139
