epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85805,1.07281,3.15439,1.18812,0.00389,0.875,0.11808,0.057,0.86333,3.2604,0.91616,6e-05,6e-05,0.09406
2,14.413,0.9154,3.16466,1.17857,0.00389,0.875,0.23528,0.14047,0.75415,3.16554,0.89492,0.000128713,0.000128713,0.0871287
3,19.586,0.91836,3.10528,1.16022,0.00389,0.875,0.31853,0.24477,0.73164,3.07337,0.86868,0.00019604,0.00019604,0.080196
4,25.0188,0.99847,3.06281,1.18391,0.00444,1,0.30237,0.25651,0.69201,3.03307,0.85703,0.000261981,0.000261981,0.073262
5,29.4342,0.91715,2.98798,1.12699,0.00444,1,0.33956,0.28837,0.6627,3.00881,0.83823,0.000326536,0.000326536,0.0663265
6,35.2519,0.94094,3.19931,1.20974,0.00444,1,0.43983,0.40203,0.64481,2.97586,0.82524,0.000389705,0.000389705,0.0593897
7,40.4237,1.05416,2.9891,1.1863,0.00444,1,0.45999,0.42101,0.63079,2.94914,0.82462,0.000451488,0.000451488,0.0524515
8,45.5573,0.97367,2.82432,1.15899,0.00444,1,0.50049,0.44045,0.63577,2.92604,0.8204,0.000511885,0.000511885,0.0455119
9,50.8526,0.90489,2.67137,1.15568,0.00444,1,0.50063,0.46194,0.62629,2.8706,0.81305,0.000570896,0.000570896,0.0385709
10,55.4157,1.01532,2.61799,1.14276,0.00444,1,0.50073,0.46163,0.64467,2.81151,0.80458,0.000628521,0.000628521,0.0316285
11,59.9292,0.8964,2.40241,1.13347,1,0.29877,0.51574,0.47528,0.65734,2.63269,0.79726,0.00068476,0.00068476,0.0246848
12,64.6029,1.04831,2.29745,1.25529,1,0.28955,0.71492,0.64436,0.6847,2.44062,0.80098,0.000739613,0.000739613,0.0177396
13,69.2652,0.90971,2.11482,1.09779,1,0.6772,0.8118,0.70076,0.69661,2.14799,0.80489,0.00079308,0.00079308,0.0107931
14,73.8523,0.90027,1.89948,1.09265,1,0.6772,0.8118,0.70076,0.69661,2.14799,0.80489,0.000845161,0.000845161,0.00384516
