epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0463,1.38045,3.4101,1.37047,0.00891,0.96667,0.72326,0.43606,1.05882,3.61387,0.97719,0.00036674,0.00036674,0.00036674
2,40.2688,1.06959,2.10495,1.11798,0.00872,1,0.90999,0.6779,0.92998,3.17414,0.9662,0.000742724,0.000742724,0.000742724
3,57.2599,0.98409,1.61824,1.0556,0.34411,0.93333,0.87495,0.64201,0.96814,3.23253,1.06052,0.00111112,0.00111112,0.00111112
4,74.2695,0.98633,1.5216,1.04012,0.27841,0.63333,0.32264,0.19722,0.95924,2.86489,1.02096,0.00147192,0.00147192,0.00147192
5,92.9651,0.9962,1.49504,1.08893,0.608,0.77567,0.7148,0.50747,0.92556,2.28294,1.02986,0.00160099,0.00160099,0.00160099
6,113.142,0.995,1.35379,1.0325,0.42305,0.70893,0.40502,0.30448,0.89534,2.92661,1.00134,0.00158448,0.00158448,0.00158448
7,132.458,0.99652,1.32316,1.0815,0.88345,0.86667,0.9104,0.65438,0.99945,1.81315,1.03233,0.00156798,0.00156798,0.00156798
8,150.882,0.94137,1.2583,1.04899,0.81745,0.89572,0.93111,0.71303,0.84517,1.50455,0.9989,0.00155148,0.00155148,0.00155148
9,170.767,0.91912,1.11072,1.02789,0.92404,0.9,0.9484,0.74153,0.80825,1.34968,0.98174,0.00153497,0.00153497,0.00153497
10,189.318,0.8902,1.11997,1.01181,0.85,0.94464,0.95217,0.76012,0.73496,1.37312,0.97363,0.00151847,0.00151847,0.00151847
11,210.357,0.86205,1.1131,0.99857,0.89788,0.96667,0.97629,0.76994,0.78881,1.32514,1.03072,0.00150197,0.00150197,0.00150197
12,232.841,0.82546,0.98917,1.00631,1,0.79052,0.92418,0.76921,0.64337,1.36825,0.9339,0.00148546,0.00148546,0.00148546
13,256.655,0.84965,0.99324,1.01972,0.90189,0.91949,0.93561,0.81746,0.68779,1.11014,0.95457,0.00146896,0.00146896,0.00146896
14,281.108,0.93367,1.07,1.09027,0.9905,0.9,0.95792,0.79299,0.73886,0.9353,0.96437,0.00145246,0.00145246,0.00145246
15,303.937,0.80164,0.95685,1.00658,0.92263,0.9,0.94552,0.79374,0.64224,1.01562,0.94843,0.00143595,0.00143595,0.00143595
16,327.197,0.7943,0.94026,0.95947,0.98596,0.9,0.93803,0.77241,0.71922,1.02438,0.97811,0.00141945,0.00141945,0.00141945
17,350.281,0.78083,0.79747,0.97452,0.99503,0.86667,0.92687,0.69844,0.74693,1.00939,1.00941,0.00140295,0.00140295,0.00140295
18,374.431,0.84668,0.88449,0.99756,0.995,0.73333,0.735,0.58432,0.72178,0.8932,1.02621,0.00138644,0.00138644,0.00138644
19,398.894,0.81206,0.83915,0.99168,0.99557,0.86667,0.89834,0.74112,0.73622,0.86957,0.96598,0.00136994,0.00136994,0.00136994
20,423.887,0.85559,0.84707,1.01561,0.94455,0.83333,0.87445,0.68194,0.7726,0.8803,0.96006,0.00135344,0.00135344,0.00135344
21,448.63,0.83156,0.79036,0.99341,0.99888,0.96667,0.98265,0.79252,0.7769,0.7683,0.97984,0.00133693,0.00133693,0.00133693
22,472.156,0.80233,0.74866,0.96495,0.99433,0.93333,0.9748,0.82701,0.66602,0.71435,0.97109,0.00132043,0.00132043,0.00132043
23,498.867,0.77981,0.75106,0.97837,0.99468,0.76667,0.789,0.66676,0.69173,0.69143,0.9716,0.00130393,0.00130393,0.00130393
24,525.391,0.76713,0.68942,0.95869,0.99097,0.76667,0.7746,0.6563,0.65078,0.66574,0.93693,0.00128742,0.00128742,0.00128742
25,552.154,0.76423,0.67479,0.97455,0.98721,0.8,0.87881,0.71669,0.69104,0.69609,0.96745,0.00127092,0.00127092,0.00127092
26,582.266,0.75882,0.67261,0.95403,0.98505,0.8,0.88158,0.71378,0.6302,0.65441,0.96094,0.00125442,0.00125442,0.00125442
27,613.523,0.74588,0.67859,0.95893,0.87813,0.66667,0.665,0.55796,0.69859,0.70865,0.95192,0.00123791,0.00123791,0.00123791
28,642.377,0.76517,0.67742,0.96945,0.99431,0.93333,0.9724,0.82053,0.63779,0.66573,0.96948,0.00122141,0.00122141,0.00122141
29,671.408,0.70094,0.61624,0.93737,1,0.83233,0.88076,0.72817,0.65426,0.61235,0.94575,0.00120491,0.00120491,0.00120491
30,699.151,0.72491,0.62381,0.94501,1,0.96309,0.98375,0.82567,0.669,0.60639,0.95704,0.0011884,0.0011884,0.0011884
31,729.198,0.69156,0.61613,0.92971,1,0.96296,0.985,0.79789,0.75021,0.76076,1.00759,0.0011719,0.0011719,0.0011719
32,757.317,0.71239,0.62808,0.94066,0.99199,0.93333,0.97562,0.80589,0.77609,0.65792,0.98972,0.0011554,0.0011554,0.0011554
33,783.705,0.71202,0.59852,0.92672,0.98932,0.93333,0.97806,0.79886,0.73519,0.71839,0.97693,0.00113889,0.00113889,0.00113889
34,812.334,0.73937,0.60906,0.96187,0.9284,0.9,0.93853,0.78789,0.67973,0.62577,0.95455,0.00112239,0.00112239,0.00112239
35,839.138,0.69972,0.59536,0.94272,0.9704,0.93333,0.97014,0.80773,0.70289,0.55551,0.95496,0.00110589,0.00110589,0.00110589
36,870.593,0.68173,0.54621,0.92297,0.98245,0.93333,0.97758,0.84576,0.66511,0.56432,0.9306,0.00108938,0.00108938,0.00108938
37,895.181,0.66203,0.5503,0.91639,0.95148,0.93333,0.97171,0.83076,0.68796,0.5627,0.96376,0.00107288,0.00107288,0.00107288
38,918.701,0.6546,0.53945,0.91685,0.98499,0.93333,0.96253,0.82607,0.65904,0.56945,0.9568,0.00105638,0.00105638,0.00105638
39,944.191,0.68332,0.54274,0.91108,0.92972,0.93333,0.97067,0.82257,0.67744,0.56786,0.94431,0.00103987,0.00103987,0.00103987
40,972.079,0.66148,0.56975,0.92771,0.9273,0.93333,0.98176,0.78927,0.70513,0.5959,0.956,0.00102337,0.00102337,0.00102337
41,995.074,0.61678,0.52543,0.91326,0.98179,0.93333,0.98587,0.81997,0.69092,0.52991,0.95998,0.00100687,0.00100687,0.00100687
42,1018.69,0.64315,0.53764,0.92311,0.98565,0.93333,0.98136,0.82656,0.67787,0.54328,0.94386,0.000990365,0.000990365,0.000990365
43,1042.39,0.6138,0.49206,0.90171,0.90744,0.93333,0.96937,0.8174,0.6681,0.55938,0.93766,0.000973861,0.000973861,0.000973861
44,1066.01,0.62781,0.53394,0.93127,0.9855,0.93333,0.97468,0.82849,0.68483,0.51609,0.94846,0.000957358,0.000957358,0.000957358
45,1096.38,0.66295,0.55918,0.91932,0.90053,0.96667,0.97273,0.79487,0.65699,0.55193,0.95957,0.000940855,0.000940855,0.000940855
46,1122.42,0.68813,0.54182,0.94449,0.93067,0.96667,0.97596,0.80288,0.63745,0.55983,0.94414,0.000924352,0.000924352,0.000924352
47,1146.63,0.62503,0.51504,0.92222,0.92903,0.93333,0.96331,0.80103,0.71074,0.48737,0.95292,0.000907848,0.000907848,0.000907848
48,1171.48,0.61301,0.50498,0.9224,0.92877,0.93333,0.9567,0.82182,0.66707,0.51903,0.93302,0.000891345,0.000891345,0.000891345
49,1201.76,0.64165,0.51457,0.92657,0.93017,0.93333,0.96075,0.8451,0.60848,0.47295,0.93433,0.000874842,0.000874842,0.000874842
50,1243.8,0.64688,0.53414,0.95598,0.92868,0.93333,0.97296,0.81182,0.61595,0.47463,0.9417,0.000858338,0.000858338,0.000858338
51,1267.4,0.61501,0.49133,0.91489,0.93034,0.93333,0.97494,0.79532,0.69097,0.47952,0.94362,0.000841835,0.000841835,0.000841835
52,1297.15,0.60161,0.48272,0.9339,0.98179,0.93333,0.98386,0.80764,0.65582,0.49505,0.9394,0.000825332,0.000825332,0.000825332
53,1317.7,0.60212,0.47794,0.89717,0.98603,0.93333,0.97155,0.80571,0.65652,0.48556,0.93167,0.000808828,0.000808828,0.000808828
54,1347.43,0.60334,0.46189,0.91426,0.98707,0.93333,0.96768,0.81653,0.63502,0.51199,0.92177,0.000792325,0.000792325,0.000792325
55,1373.72,0.58292,0.45666,0.90902,0.97339,0.93333,0.95986,0.83193,0.59753,0.46441,0.90039,0.000775822,0.000775822,0.000775822
56,1399.24,0.59417,0.45365,0.88622,1,0.89932,0.9694,0.85111,0.58341,0.48119,0.90642,0.000759318,0.000759318,0.000759318
57,1426.79,0.55684,0.43393,0.89501,0.98165,0.93333,0.97574,0.83915,0.61806,0.47705,0.91542,0.000742815,0.000742815,0.000742815
58,1453.72,0.5757,0.45826,0.90979,0.98534,0.93333,0.98614,0.83338,0.61666,0.47427,0.92704,0.000726312,0.000726312,0.000726312
59,1477.95,0.57779,0.47022,0.90605,0.93221,0.96667,0.97711,0.8323,0.6093,0.45099,0.9177,0.000709809,0.000709809,0.000709809
60,1501.22,0.56379,0.44743,0.90654,0.93364,0.96667,0.97596,0.813,0.65922,0.45555,0.95053,0.000693305,0.000693305,0.000693305
61,1526.69,0.56828,0.43862,0.90985,0.93435,0.96667,0.97846,0.80506,0.65571,0.48014,0.9421,0.000676802,0.000676802,0.000676802
62,1550.04,0.54463,0.43299,0.87987,0.93325,0.96667,0.95576,0.81942,0.61405,0.47574,0.91831,0.000660299,0.000660299,0.000660299
63,1572.53,0.52968,0.41083,0.88791,0.93372,0.96667,0.94422,0.82831,0.60009,0.45993,0.92182,0.000643795,0.000643795,0.000643795
64,1602.65,0.50967,0.39829,0.85943,0.93535,0.96454,0.94909,0.81664,0.62052,0.46413,0.93576,0.000627292,0.000627292,0.000627292
65,1637.86,0.54169,0.41016,0.90186,0.92928,0.93333,0.95052,0.81744,0.63479,0.44922,0.93179,0.000610789,0.000610789,0.000610789
66,1666.74,0.5176,0.40695,0.88975,0.906,0.96393,0.96209,0.79448,0.61722,0.42981,0.92434,0.000594286,0.000594286,0.000594286
67,1691.72,0.53138,0.40888,0.87662,0.92941,0.93333,0.96782,0.82568,0.63866,0.44851,0.91646,0.000577782,0.000577782,0.000577782
68,1720.59,0.52121,0.41692,0.8627,0.96573,0.93333,0.98079,0.83375,0.63077,0.43546,0.93762,0.000561279,0.000561279,0.000561279
69,1747.31,0.52973,0.40833,0.89048,0.98683,0.93333,0.98719,0.83541,0.64039,0.41592,0.94985,0.000544776,0.000544776,0.000544776
70,1777.76,0.5131,0.40811,0.88062,0.98495,0.93333,0.98878,0.83541,0.64077,0.42331,0.94241,0.000528272,0.000528272,0.000528272
71,1812.52,0.51903,0.40845,0.86187,0.93535,0.96461,0.98352,0.82838,0.63179,0.41253,0.93231,0.000511769,0.000511769,0.000511769
72,1836.47,0.49564,0.38147,0.86061,0.93534,0.96443,0.97101,0.82057,0.65962,0.41249,0.94683,0.000495266,0.000495266,0.000495266
73,1860.71,0.50885,0.3977,0.8827,0.93533,0.96431,0.96853,0.81018,0.66328,0.41989,0.95517,0.000478762,0.000478762,0.000478762
74,1893.21,0.51038,0.38146,0.87791,0.9312,0.93333,0.96355,0.80943,0.66645,0.45197,0.95248,0.000462259,0.000462259,0.000462259
75,1916.57,0.49185,0.39152,0.85545,0.93032,0.93333,0.96117,0.82889,0.63445,0.43373,0.9383,0.000445756,0.000445756,0.000445756
76,1942.1,0.51155,0.40262,0.8949,0.92761,0.93333,0.97242,0.81334,0.65648,0.44497,0.93013,0.000429253,0.000429253,0.000429253
