epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3752,1.31561,3.45957,1.31773,0.00389,0.93333,0.49844,0.29441,1.182,3.75087,1.08907,0.00011,0.00011,0.08911
2,20.5952,1.05726,2.0039,1.06391,0.00417,1,0.61296,0.38017,1.02598,3.2531,0.99214,0.000227723,0.000227723,0.0772277
3,29.6931,1.00577,1.51094,1.05678,0.00417,1,0.43907,0.25922,1.227,3.25103,1.05136,0.00034307,0.00034307,0.0653431
4,39.3273,0.90782,1.2934,0.96632,0.00668,1,0.79788,0.49851,0.99207,3.0637,0.94618,0.000456041,0.000456041,0.053456
5,48.6665,1.01826,1.20622,1.0394,1,0.5804,0.97471,0.79937,0.74446,2.04407,0.88141,0.000566636,0.000566636,0.0415666
6,58.3596,0.91294,1.08709,0.96257,0.93059,0.89487,0.98688,0.77535,0.7946,1.57613,0.87793,0.000674855,0.000674855,0.0296749
7,68.259,0.92287,0.99827,1.00844,1,0.92879,0.98794,0.7761,0.84378,1.41548,0.87872,0.000780698,0.000780698,0.0177807
8,78.9409,0.92578,1.00887,0.97763,0.93292,0.92756,0.93688,0.74363,0.82364,1.43373,0.87592,0.000884165,0.000884165,0.00588417
9,89.6764,0.86563,1.00875,0.9812,0.9833,0.93333,0.94209,0.77946,0.74746,1.06384,0.88109,0.0009208,0.0009208,0.0009208
10,99.0851,0.84883,0.99526,0.97636,0.93118,0.90314,0.9339,0.73964,0.78819,1.13154,0.8895,0.0009109,0.0009109,0.0009109
11,108.94,0.91871,0.9062,1.00238,0.68239,0.4,0.565,0.4541,0.77746,2.16216,0.89405,0.000901,0.000901,0.000901
12,118.589,0.91816,0.88379,1.006,0.26455,0.86667,0.35798,0.30178,0.73108,3.80854,0.88121,0.0008911,0.0008911,0.0008911
13,127.821,0.83236,0.89974,0.97093,0.67947,0.6,0.6881,0.55578,0.76894,2.83494,0.8935,0.0008812,0.0008812,0.0008812
14,137.666,0.79341,0.87005,0.9443,0.87483,0.93194,0.8543,0.71184,0.78449,2.17771,0.90442,0.0008713,0.0008713,0.0008713
15,147.385,0.79242,0.77282,0.9704,0.84408,0.8,0.78909,0.57265,0.9117,1.48811,0.97091,0.0008614,0.0008614,0.0008614
16,156.625,0.8658,0.84345,0.97932,0.7989,0.86667,0.7907,0.56764,0.93777,1.49763,0.99795,0.0008515,0.0008515,0.0008515
17,167.008,0.80077,0.7979,0.99083,0.86771,0.93333,0.85981,0.72505,0.68373,0.98602,0.86156,0.0008416,0.0008416,0.0008416
18,177.088,0.87722,0.83666,1.00751,0.85568,0.93333,0.89228,0.76078,0.66729,0.93165,0.87544,0.0008317,0.0008317,0.0008317
19,188.234,0.83643,0.73858,0.95076,0.93263,0.92345,0.95381,0.79459,0.65401,0.80084,0.88039,0.0008218,0.0008218,0.0008218
20,199.264,0.81402,0.75652,0.98407,0.97893,0.86667,0.95196,0.81941,0.64473,0.8343,0.90821,0.0008119,0.0008119,0.0008119
21,210.041,0.82621,0.79039,0.96231,0.98848,0.93333,0.98794,0.84121,0.73221,0.78168,0.96512,0.000802,0.000802,0.000802
22,220.944,0.7648,0.74767,0.94883,0.99015,0.93333,0.985,0.81567,0.70243,0.80045,0.96254,0.0007921,0.0007921,0.0007921
23,231.566,0.70927,0.68493,0.92965,0.92625,0.93333,0.97304,0.80959,0.67918,0.77334,0.93897,0.0007822,0.0007822,0.0007822
24,242.886,0.78586,0.72277,1.00073,0.98937,0.93333,0.98237,0.80047,0.71135,0.7405,0.93272,0.0007723,0.0007723,0.0007723
25,255.447,0.78291,0.68329,0.96542,0.98971,0.86667,0.88678,0.74516,0.69718,0.76916,0.95649,0.0007624,0.0007624,0.0007624
26,265.838,0.78844,0.71021,0.9543,0.99322,0.93333,0.94804,0.75956,0.73278,0.77253,0.97163,0.0007525,0.0007525,0.0007525
27,275.814,0.71092,0.67715,0.94755,0.99375,0.93333,0.94468,0.76146,0.70829,0.77785,0.97319,0.0007426,0.0007426,0.0007426
28,286.883,0.75204,0.6683,0.9429,1,0.92838,0.95375,0.77659,0.66662,0.77947,0.96757,0.0007327,0.0007327,0.0007327
29,299.004,0.77132,0.65503,0.95167,1,0.93071,0.95593,0.77884,0.68512,0.73024,0.95127,0.0007228,0.0007228,0.0007228
30,309.502,0.73643,0.63648,0.93693,0.99873,0.93333,0.96,0.80066,0.71834,0.71835,0.95716,0.0007129,0.0007129,0.0007129
31,320.513,0.74805,0.71635,0.97337,0.99693,0.93333,0.97413,0.82502,0.71731,0.71611,0.95634,0.000703,0.000703,0.000703
32,330.91,0.69023,0.61552,0.9588,0.99539,0.93333,0.98237,0.8524,0.69089,0.67995,0.94768,0.0006931,0.0006931,0.0006931
33,341.881,0.74257,0.657,0.96553,0.99531,0.93333,0.96833,0.83652,0.67955,0.6833,0.95698,0.0006832,0.0006832,0.0006832
34,352.849,0.67919,0.62179,0.93207,0.99483,0.93333,0.9575,0.83642,0.66743,0.70936,0.95327,0.0006733,0.0006733,0.0006733
35,362.69,0.67497,0.60952,0.9359,1,0.92075,0.985,0.85122,0.6411,0.60668,0.9319,0.0006634,0.0006634,0.0006634
36,374.237,0.7036,0.69418,0.96585,0.93327,0.93241,0.97567,0.84337,0.62914,0.58499,0.93113,0.0006535,0.0006535,0.0006535
37,385.177,0.61465,0.60143,0.90573,0.93251,0.93333,0.98237,0.82204,0.64688,0.63854,0.93693,0.0006436,0.0006436,0.0006436
38,396.063,0.7115,0.58906,0.93185,0.93172,0.93333,0.985,0.82542,0.62539,0.62874,0.91867,0.0006337,0.0006337,0.0006337
39,407.299,0.65484,0.59202,0.92468,0.88115,0.98912,0.97861,0.85686,0.56537,0.60856,0.88674,0.0006238,0.0006238,0.0006238
40,417.904,0.58921,0.53612,0.89311,0.92667,0.93333,0.97861,0.8443,0.56586,0.60147,0.8872,0.0006139,0.0006139,0.0006139
41,427.248,0.63829,0.54009,0.90878,0.92804,0.93333,0.97861,0.87273,0.56928,0.54621,0.89772,0.000604,0.000604,0.000604
42,437.393,0.61232,0.52537,0.91298,0.92858,0.93333,0.97861,0.87305,0.57008,0.55685,0.8933,0.0005941,0.0005941,0.0005941
43,447.534,0.67662,0.54992,0.91925,0.9288,0.93333,0.96904,0.84224,0.61461,0.57388,0.93357,0.0005842,0.0005842,0.0005842
44,457.436,0.61062,0.53661,0.89988,0.92794,0.93333,0.93304,0.78485,0.66403,0.6055,0.95483,0.0005743,0.0005743,0.0005743
45,466.973,0.63064,0.56931,0.90532,0.9229,0.93333,0.93167,0.79306,0.70181,0.63347,0.96719,0.0005644,0.0005644,0.0005644
46,475.851,0.64201,0.53579,0.91476,0.8817,0.99409,0.93861,0.78443,0.699,0.59854,0.97291,0.0005545,0.0005545,0.0005545
47,485.119,0.61682,0.49943,0.91857,0.92813,0.93333,0.9777,0.84466,0.66736,0.54051,0.95769,0.0005446,0.0005446,0.0005446
48,495.307,0.6382,0.52416,0.91634,0.93291,0.93333,0.985,0.84798,0.65483,0.52708,0.95545,0.0005347,0.0005347,0.0005347
49,504.211,0.63786,0.52571,0.93539,0.96943,0.93333,0.985,0.85872,0.61902,0.49313,0.94094,0.0005248,0.0005248,0.0005248
50,514.212,0.6255,0.50022,0.92637,0.93717,0.99476,0.99125,0.8652,0.62218,0.49627,0.93343,0.0005149,0.0005149,0.0005149
51,523.554,0.56787,0.48629,0.87542,0.93722,0.99547,0.97875,0.8359,0.626,0.50983,0.92801,0.000505,0.000505,0.000505
52,532.992,0.60565,0.52875,0.9117,0.93724,0.9958,0.97875,0.84073,0.61858,0.51616,0.93763,0.0004951,0.0004951,0.0004951
53,542.181,0.58815,0.50528,0.89468,0.93716,0.99461,0.98688,0.82262,0.65875,0.55149,0.9555,0.0004852,0.0004852,0.0004852
54,551.987,0.64904,0.54999,0.92881,0.93715,0.99447,0.99125,0.82066,0.65549,0.55632,0.95816,0.0004753,0.0004753,0.0004753
55,560.679,0.55685,0.47746,0.91789,0.9371,0.99365,0.99125,0.83369,0.64922,0.59034,0.92944,0.0004654,0.0004654,0.0004654
56,569.77,0.62077,0.54551,0.88778,0.93711,0.99379,0.99125,0.82873,0.66657,0.57928,0.92225,0.0004555,0.0004555,0.0004555
57,578.944,0.60588,0.49941,0.89715,0.93718,0.99493,0.99125,0.87874,0.62413,0.53382,0.89069,0.0004456,0.0004456,0.0004456
58,587.785,0.57114,0.45678,0.88642,0.93721,0.99541,0.9825,0.85592,0.58806,0.52679,0.88616,0.0004357,0.0004357,0.0004357
59,596.501,0.57631,0.48379,0.902,0.93523,1,0.97875,0.84738,0.59268,0.52646,0.90052,0.0004258,0.0004258,0.0004258
60,605.753,0.65627,0.52833,0.90575,0.93706,0.99294,0.97875,0.84857,0.58411,0.51243,0.89854,0.0004159,0.0004159,0.0004159
